CaseID,Activity,Timestamp,Probability,initTime,sysTime,Diff,Start time 05/11/2021 15:52:18,,,from,3899,G2,G3899,0.462288353,,,Autocalculated average
1,a,11/28/2016 21:30,1,1.62074E+12,1.62074E+12,4,service.getCurrentTime() 1480420200001,,,step,390,,,G1,G390,,0.570694087
1,d,11/28/2016 21:31,1,1.62074E+12,1.62074E+12,8,Long.MAX_VALUE+1 92233720368547758071,,,391,780,2,,G391,G780,,0.023076923
2,a,11/28/2016 21:31,1,1.62074E+12,1.62074E+12,0,lastTime 1480420200001,,,781,1170,3,,G781,G1170,,0.015384615
3,a,11/28/2016 21:32,1,1.62074E+12,1.62074E+12,0,End time 05/11/2021 15:54:31,,,1171,1560,4,,G1171,G1560,,0.002564103
4,a,11/28/2016 21:32,1,1.62074E+12,1.62074E+12,0,,,,1561,1950,5,,G1561,G1950,,0.543589744
5,a,11/28/2016 21:32,1,1.62074E+12,1.62074E+12,0,,,,1951,2340,6,,G1951,G2340,,0.925641026
3,d,11/28/2016 21:33,0.333333333,1.62074E+12,1.62074E+12,0,,,,2341,2730,7,,G2341,G2730,,0.115384615
4,d,11/28/2016 21:33,0.333333333,1.62074E+12,1.62074E+12,0,,,,2731,3120,8,,G2731,G3120,,0.443589744
5,d,11/28/2016 21:33,0.333333333,1.62074E+12,1.62074E+12,0,,,,3121,3510,9,,G3121,G3510,,0.382051282
1,b,11/28/2016 21:32,1,1.62074E+12,1.62074E+12,0,,,,3511,3900,10,,G3511,G3900,,1.604113111
6,a,11/28/2016 21:33,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
3,d,11/28/2016 21:33,0.333333333,1.62074E+12,1.62074E+12,8,,,,,,,,,,,
4,d,11/28/2016 21:33,0.333333333,1.62074E+12,1.62074E+12,8,,,,,,,,,,,
5,d,11/28/2016 21:33,0.333333333,1.62074E+12,1.62074E+12,8,,,,,,,,,,,
3,b,11/28/2016 21:34,0.333333333,1.62074E+12,1.62074E+12,8,,,,,,,,,,,
4,b,11/28/2016 21:34,0.333333333,1.62074E+12,1.62074E+12,8,,,,,,,,,,,
5,b,11/28/2016 21:34,0.333333333,1.62074E+12,1.62074E+12,8,,,,,,,,,,,
6,d,11/28/2016 21:34,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
3,b,11/28/2016 21:34,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
4,b,11/28/2016 21:34,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
5,b,11/28/2016 21:34,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
7,a,11/28/2016 21:35,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
8,a,11/28/2016 21:35,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
9,a,11/28/2016 21:36,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
6,b,11/28/2016 21:35,1,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
10,a,11/28/2016 21:36,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
11,a,11/28/2016 21:36,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
9,d,11/28/2016 21:37,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
10,d,11/28/2016 21:37,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
11,d,11/28/2016 21:37,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
9,d,11/28/2016 21:37,0.333333333,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
10,d,11/28/2016 21:37,0.333333333,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
11,d,11/28/2016 21:37,0.333333333,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
9,b,11/28/2016 21:38,0.333333333,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
10,b,11/28/2016 21:38,0.333333333,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
11,b,11/28/2016 21:38,0.333333333,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
12,a,11/28/2016 21:39,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
9,b,11/28/2016 21:38,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
10,b,11/28/2016 21:38,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
11,b,11/28/2016 21:38,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
13,a,11/28/2016 21:39,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
14,a,11/28/2016 21:39,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
12,d,11/28/2016 21:40,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
13,d,11/28/2016 21:40,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
14,d,11/28/2016 21:40,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
15,a,11/28/2016 21:40,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
12,d,11/28/2016 21:40,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
13,d,11/28/2016 21:40,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
14,d,11/28/2016 21:40,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
12,b,11/28/2016 21:41,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
13,b,11/28/2016 21:41,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
14,b,11/28/2016 21:41,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
15,d,11/28/2016 21:41,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
12,b,11/28/2016 21:41,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
13,b,11/28/2016 21:41,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
14,b,11/28/2016 21:41,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
15,b,11/28/2016 21:42,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
15,c,11/28/2016 21:44,1,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
16,a,11/28/2016 21:46,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
17,a,11/28/2016 21:46,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
18,a,11/28/2016 21:47,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
19,a,11/28/2016 21:47,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
16,d,11/28/2016 21:47,0.5,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
17,d,11/28/2016 21:47,0.5,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
20,a,11/28/2016 21:48,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
21,a,11/28/2016 21:49,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
18,d,11/28/2016 21:48,0.5,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
19,d,11/28/2016 21:48,0.5,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
16,b,11/28/2016 21:48,0.5,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
17,b,11/28/2016 21:48,0.5,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
22,a,11/28/2016 21:49,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
23,a,11/28/2016 21:49,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
21,d,11/28/2016 21:50,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
22,d,11/28/2016 21:50,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
23,d,11/28/2016 21:50,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
18,b,11/28/2016 21:49,0.5,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
19,b,11/28/2016 21:49,0.5,1.62074E+12,1.62074E+12,3,,,,,,,,,,,
24,a,11/28/2016 21:50,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
21,d,11/28/2016 21:50,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
22,d,11/28/2016 21:50,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
23,d,11/28/2016 21:50,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
21,b,11/28/2016 21:51,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
22,b,11/28/2016 21:51,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
23,b,11/28/2016 21:51,0.333333333,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
16,c,11/28/2016 21:50,0.5,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
17,c,11/28/2016 21:50,0.5,1.62074E+12,1.62074E+12,4,,,,,,,,,,,
24,d,11/28/2016 21:51,1,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
21,b,11/28/2016 21:51,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
22,b,11/28/2016 21:51,0.333333333,1.62074E+12,1.62074E+12,0,,,,,,,,,,,
