EventID,CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,1,a,11/28/2016 21:30:00,1.0,1627720409326,1627720409329
2,1,d,11/28/2016 21:31:00,1.0,1627720409368,1627720409376
3,2,a,11/28/2016 21:31:00,1.0,1627720409416,1627720409416
4,3,a,11/28/2016 21:32:00,1.0,1627720409448,1627720409448
7,4,a,11/28/2016 21:32:00,1.0,1627720409558,1627720409558
8,5,a,11/28/2016 21:32:00,1.0,1627720409590,1627720409590
9,3,d,11/28/2016 21:33:00,0.3333333333333333,1627720409622,1627720409626
9,4,d,11/28/2016 21:33:00,0.3333333333333333,1627720409622,1627720409626
9,5,d,11/28/2016 21:33:00,0.3333333333333333,1627720409622,1627720409626
6,2,d,11/28/2016 21:32:00,1.0,1627720409622,1627720409626
5,1,b,11/28/2016 21:32:00,1.0,1627720409622,1627720409627
14,6,a,11/28/2016 21:33:00,1.0,1627720409842,1627720409843
12,3,d,11/28/2016 21:33:00,0.3333333333333333,1627720409888,1627720409894
12,4,d,11/28/2016 21:33:00,0.3333333333333333,1627720409888,1627720409894
12,5,d,11/28/2016 21:33:00,0.3333333333333333,1627720409888,1627720409894
13,3,d,11/28/2016 21:33:00,0.3333333333333333,1627720409888,1627720409895
13,4,d,11/28/2016 21:33:00,0.3333333333333333,1627720409888,1627720409895
13,5,d,11/28/2016 21:33:00,0.3333333333333333,1627720409888,1627720409895
15,3,b,11/28/2016 21:34:00,0.3333333333333333,1627720409888,1627720409895
15,4,b,11/28/2016 21:34:00,0.3333333333333333,1627720409888,1627720409895
15,5,b,11/28/2016 21:34:00,0.3333333333333333,1627720409888,1627720409895
11,2,b,11/28/2016 21:33:00,1.0,1627720409888,1627720409895
10,1,e,11/28/2016 21:33:00,1.0,1627720409888,1627720409897
16,6,d,11/28/2016 21:34:00,0.5,1627720410095,1627720410103
16,1,d,11/28/2016 21:34:00,0.5,1627720410095,1627720410103
19,6,d,11/28/2016 21:34:00,0.5,1627720410095,1627720410104
19,1,d,11/28/2016 21:34:00,0.5,1627720410095,1627720410104
17,3,b,11/28/2016 21:34:00,0.3333333333333333,1627720410095,1627720410104
17,4,b,11/28/2016 21:34:00,0.3333333333333333,1627720410095,1627720410105
17,5,b,11/28/2016 21:34:00,0.3333333333333333,1627720410095,1627720410105
18,3,b,11/28/2016 21:34:00,0.3333333333333333,1627720410095,1627720410105
18,4,b,11/28/2016 21:34:00,0.3333333333333333,1627720410095,1627720410106
18,5,b,11/28/2016 21:34:00,0.3333333333333333,1627720410095,1627720410106
20,3,e,11/28/2016 21:35:00,0.3333333333333333,1627720410095,1627720410106
20,4,e,11/28/2016 21:35:00,0.3333333333333333,1627720410095,1627720410107
20,5,e,11/28/2016 21:35:00,0.3333333333333333,1627720410095,1627720410107
22,7,a,11/28/2016 21:35:00,1.0,1627720410204,1627720410204
24,8,a,11/28/2016 21:35:00,1.0,1627720410296,1627720410297
28,9,a,11/28/2016 21:36:00,1.0,1627720410470,1627720410471
21,6,b,11/28/2016 21:35:00,0.5,1627720410470,1627720410477
21,1,b,11/28/2016 21:35:00,0.5,1627720410470,1627720410477
27,6,b,11/28/2016 21:35:00,0.5,1627720410470,1627720410477
27,1,b,11/28/2016 21:35:00,0.5,1627720410470,1627720410477
23,2,c,11/28/2016 21:35:00,1.0,1627720410470,1627720410478
25,3,e,11/28/2016 21:35:00,0.3333333333333333,1627720410470,1627720410478
25,4,e,11/28/2016 21:35:00,0.3333333333333333,1627720410470,1627720410478
25,5,e,11/28/2016 21:35:00,0.3333333333333333,1627720410470,1627720410479
26,3,e,11/28/2016 21:35:00,0.3333333333333333,1627720410470,1627720410479
26,4,e,11/28/2016 21:35:00,0.3333333333333333,1627720410470,1627720410479
26,5,e,11/28/2016 21:35:00,0.3333333333333333,1627720410470,1627720410479
29,10,a,11/28/2016 21:36:00,1.0,1627720410517,1627720410517
31,11,a,11/28/2016 21:36:00,1.0,1627720410584,1627720410585
39,9,d,11/28/2016 21:37:00,0.3333333333333333,1627720410929,1627720410937
39,10,d,11/28/2016 21:37:00,0.3333333333333333,1627720410929,1627720410937
39,11,d,11/28/2016 21:37:00,0.3333333333333333,1627720410929,1627720410937
30,3,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
30,4,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
30,5,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
30,7,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410937
30,8,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410937
33,3,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
33,4,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
33,5,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
33,7,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410937
33,8,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410937
33,4,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410937
33,5,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
35,3,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
35,4,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
35,5,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
35,7,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410938
35,8,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410938
36,3,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
36,4,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
36,5,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410938
36,7,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410938
36,8,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410938
37,3,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410939
37,4,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410939
37,5,d,11/28/2016 21:36:00,0.2727272727272727,1627720410929,1627720410939
37,7,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410939
37,8,d,11/28/2016 21:36:00,0.09090909090909091,1627720410929,1627720410939
32,6,e,11/28/2016 21:36:00,0.5,1627720410929,1627720410939
32,1,e,11/28/2016 21:36:00,0.5,1627720410929,1627720410939
38,6,e,11/28/2016 21:36:00,0.5,1627720410929,1627720410939
38,1,e,11/28/2016 21:36:00,0.5,1627720410929,1627720410939
34,2,g,11/28/2016 21:36:00,1.0,1627720410929,1627720410941
40,9,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
40,10,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
40,11,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
40,6,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
40,1,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
42,9,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
42,10,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
42,11,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
42,6,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
42,1,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
43,9,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
43,10,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
43,11,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
43,6,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
43,1,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
49,9,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
49,10,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
49,11,d,11/28/2016 21:37:00,0.14285714285714285,1627720411338,1627720411344
49,6,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411344
49,1,d,11/28/2016 21:37:00,0.2857142857142857,1627720411338,1627720411345
50,9,b,11/28/2016 21:38:00,0.3333333333333333,1627720411338,1627720411345
50,10,b,11/28/2016 21:38:00,0.3333333333333333,1627720411338,1627720411345
50,11,b,11/28/2016 21:38:00,0.3333333333333333,1627720411338,1627720411345
41,3,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
41,4,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
41,5,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
41,7,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
41,8,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
44,3,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
44,4,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
44,5,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
44,7,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
44,8,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
46,3,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
46,4,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
46,5,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
46,7,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
46,8,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
46,3,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
46,4,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
46,5,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
46,7,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
46,8,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
47,3,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
47,4,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
47,5,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
47,7,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
47,8,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
48,3,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
48,4,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
48,5,b,11/28/2016 21:37:00,0.2222222222222222,1627720411338,1627720411345
48,7,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
48,8,b,11/28/2016 21:37:00,0.18518518518518517,1627720411338,1627720411345
45,2,h,11/28/2016 21:37:00,1.0,1627720411338,1627720411346
59,12,a,11/28/2016 21:39:00,1.0,1627720411685,1627720411685
51,9,b,11/28/2016 21:38:00,0.21739130434782608,1627720411685,1627720411690
51,10,b,11/28/2016 21:38:00,0.21739130434782608,1627720411685,1627720411690
51,11,b,11/28/2016 21:38:00,0.21739130434782608,1627720411685,1627720411690
51,6,b,11/28/2016 21:38:00,0.17391304347826086,1627720411685,1627720411690
51,1,b,11/28/2016 21:38:00,0.17391304347826086,1627720411685,1627720411690
53,9,b,11/28/2016 21:38:00,0.21739130434782608,1627720411685,1627720411690
